compounds	name	formula	minFlux	maxFlux	concentration
cpd00082	D-Fructose	C6H12O6	-1000	5	0.001
cpd00013	NH3	H4N	-1000	1000	0.001
cpd00009	Phosphate	HO4P	-1000	1000	0.001
cpd00048	Sulfate	O4S	-1000	1000	0.001
cpd00063	Ca2+	Ca	-1000	1000	0.001
cpd00011	CO2	CO2	-1000	0	0.001
cpd10516	Fe+3	Fe	-1000	1000	0.001
cpd00067	H+	H	-1000	1000	0.001
cpd00001	H2O	H2O	-1000	1000	0.001
cpd00205	K+	K	-1000	1000	0.001
cpd00254	Mg	Mg	-1000	1000	0.001
cpd00971	Na+	Na	-1000	1000	0.001
cpd00007	O2	O2	-1000	1000	0.001
cpd00099	Cl-	Cl	-1000	1000	0.001
cpd00058	Cu2+	Cu	-1000	1000	0.001
cpd00149	Co2+	Co	-1000	1000	0.001
cpd00030	Mn2+	Mn	-1000	1000	0.001
cpd00034	Zn2+	Zn	-1000	1000	0.001
cpd10515	Fe+2	Fe	-1000	1000	0.001